Number;Issue #;Title;HTML URL;Heading;Date Filed;Week;Status;Closed Date;Labels;Assignees;Guessed Kind;Guessed CPython Versions
39;131580;Faulthandler segfaults when called from threads;https://github.com/python/cpython/issues/131580;#### 39- [131580](https://github.com/python/cpython/issues/131580) - Faulthandler segfaults when called from threads;22/03/2025;12;closed;25/03/2025;"extension-modules;type-crash";;Segfault/Crash;
40;131998;The interpreter crashes when specializing bound method calls on unbound objects;https://github.com/python/cpython/issues/131998;#### 40- [131998](https://github.com/python/cpython/issues/131998) - The interpreter crashes when specializing bound method calls on unbound objects;02/04/2025;14;closed;08/04/2025;"interpreter-core;release-blocker;type-crash;3.13;3.14";;Segfault/Crash;"3.13;3.14"
41;132002;Segfault deallocating a `ContextVar` built with `str` subclass;https://github.com/python/cpython/issues/132002;#### 41- [132002](https://github.com/python/cpython/issues/132002) - Segfault deallocating a `ContextVar` built with `str` subclass;02/04/2025;14;closed;02/04/2025;"extension-modules;type-crash;3.12;3.13;3.14";sobolevn;Segfault/Crash;"3.12;3.13;3.14"
42;132011;Failed assertion in `_PyEval_EvalFrameDefault`: `self_o != NULL`;https://github.com/python/cpython/issues/132011;#### 42- [132011](https://github.com/python/cpython/issues/132011) - Failed assertion in `_PyEval_EvalFrameDefault`: `self_o != NULL`;02/04/2025;14;closed;06/04/2025;"interpreter-core;type-crash";sobolevn;Abort/AssertionError;
43;132171;Assertion failure calling `_interpreters.run_string` with a string subclass instance;https://github.com/python/cpython/issues/132171;#### 43- [132171](https://github.com/python/cpython/issues/132171) - Assertion failure calling `_interpreters.run_string` with a string subclass instance;06/04/2025;15;closed;07/04/2025;"extension-modules;type-crash;topic-subinterpreters";sobolevn;Abort/AssertionError;
44;132176;Abort when using a tuple subclass instance as the `bases` parameter for `type`;https://github.com/python/cpython/issues/132176;#### 44- [132176](https://github.com/python/cpython/issues/132176) - Abort when using a tuple subclass instance as the `bases` parameter for `type`;06/04/2025;15;closed;15/04/2025;"interpreter-core;type-crash";sobolevn;Abort/AssertionError;
45;132250;`_ccall_callback` method of `_lsprof.Profiler` causes Fatal Python error;https://github.com/python/cpython/issues/132250;#### 45- [132250](https://github.com/python/cpython/issues/132250) - `_ccall_callback` method of `_lsprof.Profiler` causes Fatal Python error;08/04/2025;15;closed;08/04/2025;"extension-modules;type-crash";;Fatal Python Error;
46;132296;Concurrent deallocation of threads while calling `PyEval_SetTrace`;https://github.com/python/cpython/issues/132296;#### 46- [132296](https://github.com/python/cpython/issues/132296) - Concurrent deallocation of threads while calling `PyEval_SetTrace`;09/04/2025;15;open;;"interpreter-core;type-crash;topic-C-API;topic-free-threading";;;
47;132386;Segfault or failed assertion (`obj != NULL`) in `PyStackRef_FromPyObjectSteal`;https://github.com/python/cpython/issues/132386;#### 47- [132386](https://github.com/python/cpython/issues/132386) - Segfault or failed assertion (`obj != NULL`) in `PyStackRef_FromPyObjectSteal`;11/04/2025;15;closed;11/04/2025;"interpreter-core;type-crash";tomasr8;Segfault/Crash;
48;132461;Abort from calling `OrderedDict.setdefault` with an invalid value;https://github.com/python/cpython/issues/132461;#### 48- [132461](https://github.com/python/cpython/issues/132461) - Abort from calling `OrderedDict.setdefault` with an invalid value;13/04/2025;16;open;;"interpreter-core;type-crash";;Abort/AssertionError;
49;132551;Segfault/abort from calling `BytesIO` `unshare_buffer` in threads on a free-threaded build;https://github.com/python/cpython/issues/132551;#### 49- [132551](https://github.com/python/cpython/issues/132551) - Segfault/abort from calling `BytesIO` `unshare_buffer` in threads on a free-threaded build;15/04/2025;16;closed;08/05/2025;"extension-modules;type-crash;3.13;topic-free-threading;3.14";;Segfault/Crash;"3.13;3.14"
50;132707;Segfault in free-threaded build from interaction of nested list/tuple repr;https://github.com/python/cpython/issues/132707;#### 50- [132707](https://github.com/python/cpython/issues/132707) - Segfault in free-threaded build from interaction of nested list/tuple repr;18/04/2025;16;closed;18/04/2025;"interpreter-core;type-crash;topic-free-threading";;Segfault/Crash;
51;132713;Segfault in `union_repr` from `list_repr_impl` in free-threaded build;https://github.com/python/cpython/issues/132713;#### 51- [132713](https://github.com/python/cpython/issues/132713) - Segfault in `union_repr` from `list_repr_impl` in free-threaded build;19/04/2025;16;closed;23/04/2025;"interpreter-core;type-crash;topic-typing;3.13;topic-free-threading;3.14";sobolevn;Segfault/Crash;"3.13;3.14"
52;133441;3.13: Abort from failed assertion in `_PyEval_EvalFrameDefault`;https://github.com/python/cpython/issues/133441;#### 52- [133441](https://github.com/python/cpython/issues/133441) - 3.13: Abort from failed assertion in `_PyEval_EvalFrameDefault`;05/05/2025;19;open;;"interpreter-core;type-crash;3.13";;Abort/AssertionError;3.13
